customer_id,tenure,products_number,credit_card,active_member,churn,country_Germany,country_Spain,gender_Male,age_group_18-30,age_group_31-43,age_group_44-56,age_group_57-69,age_group_70-82,credit_score_group_501-600,credit_score_group_601-700,credit_score_group_701-800,credit_score_group_801-850,log_balance,log_estimated_salary
15634602,-1.0417596792253108,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,-1.3273578283218463,0.31789508017940293
15647311,-1.3875375865624426,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0.6947706423481352,0.422639500728187
15619304,1.03290776479748,3,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0.8097377045579923,0.43490371941453554
15701354,-1.3875375865624426,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-1.3273578283218463,0.24078858668781164
15737888,-1.0417596792253108,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0.7668099918405068,0.06988211422061098
15574012,1.03290776479748,2,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0.7492689323636439,0.7082702083635075
15592531,0.6871298574603482,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,-1.3273578283218463,-1.991354842045265
15656148,-0.35020386455104724,4,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0.7512818241772565,0.48133180778211976
15792365,-0.35020386455104724,2,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0.78889188670555,0.016074381684282935
15592389,-1.0417596792253108,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0.7792863105753441,-0.027762657596165613
15767821,0.3413519501232164,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0.729840852878786,0.08365588366766001
15737173,-0.695981771888179,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-1.3273578283218463,0.03522840701805827
15632264,1.7244635794717436,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1.3273578283218463,-1.032336851028836
15691483,-0.004425957213915414,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-1.3273578283218463,0.9507450078660958
15600882,0.6871298574603482,2,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,-1.3273578283218463,-0.11167512733707956
